Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	AntesLongitude	AntesLatitude	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria	Classe	longitude	latitude
SWPP	GO0142	Fazenda Pica-Pau	MOZARLÂNDIA	Goiás			050°39'46.6W"	14°44'57.5S"	281,0	VFR	Sem Operação	05/23	1140,0000	48,00	2500 Kg /   0.50 MPa	Terra							13/05/2025	PA2015-1111	https://pergamum.anac.gov.br/arquivos/PA2015-1111.pdf	Privado	-50.6629444444400	-14.7493055555556
SWHY	MS0378	Fazenda Irerê	MARACAJU	Mato Grosso do Sul			055°15'58.0W"	21°29'40.0S"	454,0	VFR	Sem Operação	02/20	700,0000	18,00	5000 Kg /   0.50 MPa	Grama							16/06/2027	PA2017-1778	https://pergamum.anac.gov.br/arquivos/PA2017-1778.pdf	Privado	-55.2661111111100	-21.4944444444444
SSZA	RR0105	Fazenda Angra dos Reis	BOA VISTA	Roraima			060°41'47.0W"	02°59'37.0N"	84,0	VFR	Sem Operação	03/21	1000,0000	20,00	5700 Kg /   0.05 MPa	Terra							17/05/2026	PA2016-1197	https://pergamum.anac.gov.br/arquivos/PA2016-1197.pdf	Privado	-60.6963888888900	2.99361111111111
SSBB	MG0177	Fazenda Balada	JOÃO PINHEIRO	Minas Gerais			045°57'00.0W"	17°22'34.0S"	550,0	VFR	VFR	04/22	1100,0000	25,00	9/F/B/X/T	Asfalto							06/07/2026	PA2018-1076	https://pergamum.anac.gov.br/arquivos/PA2018-1076.pdf	Privado	-45.9500000000000	-17.3761111111111
SDSL	MT0494	Fazenda Bang Bang	SÃO JOSÉ DO XINGU	Mato Grosso			052°44'05.0W"	10°53'24.0S"	331,0	VFR	Sem Operação	10/28	1000,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							20/12/2029	PA2019-3834	https://pergamum.anac.gov.br/arquivos/PA2019-3834.pdf	Privado	-52.7347222222200	-10.89
SIFV	ES0008	Primo Bitti	ARACRUZ	Espírito Santo			040°06'02.9W"	19°49'35.0S"	26,0	VFR	VFR	07/25	1600,0000	30,00	29/F/B/X/T	Asfalto							24/04/2024	PA2014-0989	https://pergamum.anac.gov.br/arquivos/PA2014-0989.pdf	Privado	-40.1008055555600	-19.8263888888889
SWQU	MT0384	Fazenda Guaporé	VILA BELA DA SANTÍSSIMA TRINDADE	Mato Grosso			060°07'18.0W"	14°36'04.0S"	219,0	VFR	Sem Operação	01/19	1030,0000	20,00	5000 Kg /   0.50 MPa	Grama							22/10/2023	PA2013-2747	https://pergamum.anac.gov.br/arquivos/PA2013-2747.pdf	Privado	-60.1216666666700	-14.6011111111111
SIUL	RS0069	KL Aviação Agrícola	CAMAQUÃ	Rio Grande do Sul			051°46'20.6W"	30°51'32.8S"	39,0	VFR	Sem Operação	11/29	600,0000	23,00	4000 Kg /   0.50 MPa	Saibro							18/11/2025	PA2015-3044	https://pergamum.anac.gov.br/arquivos/PA2015-3044.pdf	Privado	-51.7723888888900	-30.8591111111111
SSIY	PA0127	Fazenda Três Irmãos	NOVO PROGRESSO	Pará			055°53'05.0W"	09°20'44.0S"	289,0	VFR	Sem Operação	06/24	1000,0000	20,00	5700 Kg /   0.50 MPa	Terra							14/02/2028	PA2018-0349	https://pergamum.anac.gov.br/arquivos/PA2018-0349.pdf	Privado	-55.8847222222200	-9.34555555555556
SJJC	MS0420	Fazenda Cachoeira	PONTA PORÃ	Mato Grosso do Sul			055°21'39.2W"	22°30'00.8S"	497,0	VFR	Sem Operação	08/26	742,0000	20,00	5700 Kg /   0.50 MPa	Terra							28/02/2029	PA2019-0532	https://pergamum.anac.gov.br/arquivos/PA2019-0532.pdf	Privado	-55.3608888888900	-22.5002222222222
SWZR	MS0403	Fazenda Ponto de Apoio	ÁGUA CLARA	Mato Grosso do Sul			052°41'15.0W"	20°27'59.0S"	402,0	VFR	Sem Operação	03/21	900,0000	40,00	5000 Kg /   0.50 MPa	Terra							16/10/2022	PA2013-1154	https://pergamum.anac.gov.br/arquivos/PA2013-1154.pdf	Privado	-52.6875000000000	-20.4663888888889
SDED	SP0092	Scoda Aeronáutica	IPEÚNA	São Paulo			047°42'03.0W"	22°26'25.0S"	612,0	VFR	Sem Operação	13/31	500,0000	20,00	5000 Kg /   0.50 MPa	Grama							06/07/2030	PA2020-1812	https://pergamum.anac.gov.br/arquivos/PA2020-1812.pdf	Privado	-47.7008333333300	-22.4402777777778
SNYZ	PA0119	Fazenda Rio 18	CUMARU DO NORTE	Pará			051°17'05.0W"	08°26'18.0S"	315,0	VFR	Sem Operação	05/23	1200,0000	18,00	5000 Kg /   0.50 MPa	Terra							04/09/2022	PA2012-1761	https://pergamum.anac.gov.br/arquivos/PA2012-1761.pdf	Privado	-51.2847222222200	-8.43833333333333
SNJA	RS0085	Capivari	CAPIVARI DO SUL	Rio Grande do Sul			050°30'35.0W"	30°08'04.0S"	13,0	VFR	Sem Operação	10/28	648,0000	18,00	5000 Kg /   0.50 MPa	Saibro							05/09/2027	PA2017-2646	https://pergamum.anac.gov.br/arquivos/PA2017-2646.pdf	Privado	-50.5097222222200	-30.1344444444444
SSQZ	BA0033	Mimoso do Oeste	LUÍS EDUARDO MAGALHÃES	Bahia			045°53'42.0W"	12°06'23.0S"	775,0	VFR		10/28	1300,0000	28,00	10/F/B/Y/U	Asfalto							11/02/2031	PA2021-4068	https://pergamum.anac.gov.br/arquivos/PA2021-4068.pdf	Privado	-45.8950000000000	-12.1063888888889
SSXN	PA0135	Aéreo Amazônia	ALTAMIRA	Pará			055°06'53.0W"	08°17'54.0S"	250,0	VFR	Sem Operação	07/25	1100,0000	50,00	4500 Kg /   0.50 MPa	Piçarra							11/07/2022	PA2012-1383	https://pergamum.anac.gov.br/arquivos/PA2012-1383.pdf	Privado	-55.1147222222200	-8.29833333333333
SWYL	CE0025	Fazenda Carrapato	ITAPIPOCA	Ceará			039°38'37.0W"	03°30'40.0S"	138,0	VFR	Sem Operação	11/29	750,0000	18,00	5700 Kg /   0.62 MPa	Piçarra							19/05/2024	PA2014-1157	https://pergamum.anac.gov.br/arquivos/PA2014-1157.pdf	Privado	-39.6436111111100	-3.51111111111111
SWSX	PA0150	Xinguara	XINGUARA	Pará			049°58'35.0W"	07°05'26.0S"	247,0	VFR	Sem Operação	13/31	950,0000	23,00	5700 Kg /   0.50 MPa	Piçarra							06/07/2026	PA2016-1693	https://pergamum.anac.gov.br/arquivos/PA2016-1693.pdf	Privado	-49.9763888888900	-7.09055555555556
SNWG	MS0234	Fazenda Iporã	ITAQUIRAÍ	Mato Grosso do Sul			054°03'28.0W"	23°35'13.0S"	180,0	VFR	Sem Operação	02/20	800,0000	40,00	5000 Kg /   0.50 MPa	Grama							17/01/2024	PA2014-0110	https://pergamum.anac.gov.br/arquivos/PA2014-0110.pdf	Privado	-54.0577777777800	-23.5869444444444
SINC	SC0029	Campo Nuic	BOM JARDIM DA SERRA	Santa Catarina			049°34'09.0W"	28°22'54.0S"	1438,0	VFR	Sem Operação	06/24	340,0000	18,00	3000 Kg /   0.50 MPa	Grama							03/11/2027	PA2017-3532	https://pergamum.anac.gov.br/arquivos/PA2017-3532.pdf	Privado	-49.5691666666700	-28.3816666666667
SJDX	MS0156	Fazenda Bandeirantes	AQUIDAUANA	Mato Grosso do Sul			055°32'59.0W"	19°24'44.0S"	130,0	VFR	Sem Operação	08/26	571,0000	20,00	3000 Kg /   0.50 MPa	Grama							10/04/2024	PA2014-0861	https://pergamum.anac.gov.br/arquivos/PA2014-0861.pdf	Privado	-55.5497222222200	-19.4122222222222
SNWO	MS0236	Fazenda Vera Cruz	AMAMBAI	Mato Grosso do Sul			054°37'28.0W"	23°01'04.0S"	305,0	VFR	Sem Operação	09/27	900,0000	30,00	5000 Kg /   0.50 MPa	Terra							09/08/2023	PA2013-2012	https://pergamum.anac.gov.br/arquivos/PA2013-2012.pdf	Privado	-54.6244444444400	-23.0177777777778
SSIA	PI0037	Fazenda Ipê	BAIXA GRANDE DO RIBEIRO	Piauí			045°18'37.0W"	08°25'40.0S"	530,0	VFR	Sem Operação	12/30	1500,0000	25,00	5700 Kg /   0.50 MPa	Piçarra							22/12/2027	PA2017-4066	https://pergamum.anac.gov.br/arquivos/PA2017-4066.pdf	Privado	-45.3102777777800	-8.42777777777778
SSHD	RS0096	Chico Ledur	ALEGRETE	Rio Grande do Sul			055°42'51.0W"	29°49'05.0S"	116,0	VFR	Sem Operação	15/33	600,0000	18,00	2500 Kg /   0.50 MPa	Grama							25/05/2027	PA2017-1691	https://pergamum.anac.gov.br/arquivos/PA2017-1691.pdf	Privado	-55.7141666666700	-29.8180555555556
SWLQ	AM0089	Fazenda Mata Velha	MANICORÉ	Amazonas			061°33'48.0W"	07°54'29.0S"	117,0	VFR	Sem Operação	15/33	800,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							04/12/2029	PA2019-3668	https://pergamum.anac.gov.br/arquivos/PA2019-3668.pdf	Privado	-61.5633333333300	-7.90805555555556
SSVO	SP0259	Usina de Monções	MONÇÕES	São Paulo			050°07'47.0W"	20°52'10.0S"	436,0	VFR	Sem Operação	15/33	1000,0000	23,00	8/F/C/Y/U	Asfalto							13/11/2023	PA2013-2951	https://pergamum.anac.gov.br/arquivos/PA2013-2951.pdf	Privado	-50.1297222222200	-20.8694444444444
SNMS	AP0013	Acácio Favacho	PRACUÚBA	Amapá			050°46'15.0W"	01°33'38.0N"	11,0	VFR	Sem Operação	18/36	1000,0000	18,00	3000 Kg /   0.50 MPa	Cascalho							31/08/2030	PA2020-1930	https://pergamum.anac.gov.br/arquivos/PA2020-1930.pdf	Privado	-50.7708333333300	1.56055555555556
SJFB	MA0028	Fazenda Bacuri	RIACHÃO	Maranhão			046°26'32.0W"	08°22'58.0S"	553,0	VFR	Sem Operação	09/27	900,0000	18,00	4000 Kg /   0.50 MPa	Cascalho							23/10/2024	PA2014-2464	https://pergamum.anac.gov.br/arquivos/PA2014-2464.pdf	Privado	-46.4422222222200	-8.38277777777778
SJLZ	TO0031	Coperjava	FORMOSO DO ARAGUAIA	Tocantins			049°42'44.0W"	11°50'06.0S"	192,0	VFR	Sem Operação	18/36	900,0000	30,00	5700 Kg /   0.50 MPa	Cascalho							30/06/2025	PA2015-1607	https://pergamum.anac.gov.br/arquivos/PA2015-1607.pdf	Privado	-49.7122222222200	-11.835
SSTD	BA0164	Stracci	SÃO DESIDÉRIO	Bahia			046°15'55.0W"	12°40'51.0S"	913,0	VFR	Sem Operação	17/35	1125,0000	20,00	5700 Kg /   0.50 MPa	Terra							30/12/2024	PA2014-3161	https://pergamum.anac.gov.br/arquivos/PA2014-3161.pdf	Privado	-46.2652777777800	-12.6808333333333
SWAM	SP0269	Fazenda Agropecuária Gomes	TAQUARITUBA	São Paulo			049°09'01.0W"	23°38'53.0S"	660,0	VFR	Sem Operação	04/22	900,0000	25,00	5700 Kg /   0.62 MPa	Grama							28/12/2030	PA2020-3617	https://pergamum.anac.gov.br/arquivos/PA2020-3617.pdf	Privado	-49.1502777777800	-23.6480555555556
SDJQ	SP0115	Fazenda São Joaquim O.B.	PEREIRA BARRETO	São Paulo			051°00'28.6W"	20°49'42.2S"	367,0	VFR	Sem Operação	05/23	1400,0000	23,00	10/F/A/X/T	Asfalto							08/08/2021	PA2013-1646	https://pergamum.anac.gov.br/arquivos/PA2013-1646.pdf	Privado	-51.0079444444400	-20.8283888888889
SBOX	MS0534	FAZENDA BAIA MORENA	CORUMBÁ	Mato Grosso do Sul			055°22'28.0W"	18°15'36.0S"	167,0	VFR	Sem Operação	06/24	1000,0000	18,00	5600 Kg /   0.50 MPa	Grama							19/11/2030	PA2020-2980	https://pergamum.anac.gov.br/arquivos/PA2020-2980.pdf	Privado	-55.3744444444400	-18.26
SIKS	MT0649	Fazenda Vale do Juruena	NOVA BANDEIRANTES	Mato Grosso			058°13'44.0W"	09°24'09.0S"	211,0	VFR	Sem Operação	01/19	800,0000	20,00	5700 Kg /   0.50 MPa	Grama							12/02/2030	PA2020-0269	https://pergamum.anac.gov.br/arquivos/PA2020-0269.pdf	Privado	-58.2288888888900	-9.4025
SSZH	MS0359	Fazenda Corrientes	TACURU	Mato Grosso do Sul			054°42'51.0W"	23°38'44.0S"	342,0	VFR	Sem Operação	05/23	1100,0000	23,00	5600 Kg /   0.50 MPa	Grama							05/04/2022	PA2018-2183	https://pergamum.anac.gov.br/arquivos/PA2018-2183.pdf	Privado	-54.7141666666700	-23.6455555555556
SWOM	MS0389	Fazenda Marialva	NAVIRAÍ	Mato Grosso do Sul			053°58'49.0W"	23°01'07.0S"	303,0	VFR	Sem Operação	14/32	900,0000	18,00	5700 Kg /   0.50 MPa	Grama							22/11/2028	PA2018-3430	https://pergamum.anac.gov.br/arquivos/PA2018-3430.pdf	Privado	-53.9802777777800	-23.0186111111111
SJQL	MG0130	Águas Claras Aviação Agrícola 	SANTA JULIANA	Minas Gerais			047°33'18.0W"	19°19'20.0S"	1020,0	VFR	Sem Operação	09/27	900,0000	25,00	5000 Kg /   0.50 MPa	Terra							26/07/2022	PA2016-2539	https://pergamum.anac.gov.br/arquivos/PA2016-2539.pdf	Privado	-47.5550000000000	-19.3222222222222
SNHU	MA0036	Fazenda Bola Sete 	ITINGA DO MARANHÃO	Maranhão			047°28'16.0W"	04°34'09.0S"	213,0	VFR	Sem Operação	07/25	1000,0000	20,00	5700 Kg /   0.50 MPa	Terra							27/03/2025	PA2015-0746	https://pergamum.anac.gov.br/arquivos/PA2015-0746.pdf	Privado	-47.4711111111100	-4.56916666666667
SDQH	MT0056	Fazenda Santa Clara	CASTANHEIRA	Mato Grosso			058°36'10.0W"	10°39'12.0S"	1,0	VFR	Sem Operação	15/33	1500,0000	18,00	18/F/A/X/T	Asfalto							31/07/2025	PA2015-2029	https://pergamum.anac.gov.br/arquivos/PA2015-2029.pdf	Privado	-58.6027777777800	-10.6533333333333
SIPP	MG0312	Fazenda Musa do Norte	FRANCISCO SÁ	Minas Gerais			043°31'12.0W"	16°07'24.0S"	533,0	VFR	Sem Operação	06/24	700,0000	18,00	5400 Kg /   0.50 MPa	Terra										Privado	-43.5200000000000	-16.1233333333333
SIZU	MT0160	Agrochapada	PARANATINGA	Mato Grosso			054°16'36.0W"	13°26'08.9S"	435,0	VFR	Sem Operação	04/22	1300,0000	30,00	5700 Kg /   0.50 MPa	Cascalho							06/12/2021	PA2011-2382	https://pergamum.anac.gov.br/arquivos/PA2011-2382.pdf	Privado	-54.2766666666700	-13.4358055555556
SIJM	MT0098	Fazenda Tupancy	SAPEZAL	Mato Grosso			058°35'22.0W"	13°27'18.0S"	524,0	VFR	Sem Operação	06/24	900,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							05/06/2025	PA2015-1334	https://pergamum.anac.gov.br/arquivos/PA2015-1334.pdf	Privado	-58.5894444444400	-13.455
SBQN	MT0668	Fazenda Nossa Senhora Aparecida II	PORTO ESTRELA	Mato Grosso			057°22'41.0W"	15°34'31.0S"	156,0	VFR	Sem Operação	16/34	1000,0000	18,00	5700 Kg /   0.50 MPa	Terra							14/09/2030	PA2020-2222	https://pergamum.anac.gov.br/arquivos/PA2020-2222.pdf	Privado	-57.3780555555600	-15.5752777777778
SNMF	MG0157	Agropastoril Monte Alegre	MONTE BELO	Minas Gerais			046°15'08.0W"	21°21'21.0S"	861,0	VFR	Sem Operação	03/21	797,0000	23,00	3500 Kg /   0.50 MPa	Terra							06/11/2030	PA2020-2641	https://pergamum.anac.gov.br/arquivos/PA2020-2641.pdf	Privado	-46.2522222222200	-21.3558333333333
SSHP	PR0080	Fazenda Paiol do Piquiri	GOIOXIM	Paraná			051°55'23.0W"	25°02'50.0S"	944,0	VFR	Sem Operação	16/34	595,0000	15,00	2500 Kg /   0.50 MPa	Terra							17/05/2026	PA2016-1284	https://pergamum.anac.gov.br/arquivos/PA2016-1284.pdf	Privado	-51.9230555555600	-25.0472222222222
SWBW	MS0509	Fazenda Água Nascente	SONORA	Mato Grosso do Sul			053°43'46.0W"	17°14'08.0S"	588,0	VFR		11/29	800,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							22/07/2030	https://pergamum.anac.gov.br/arquivos/PA2020-1688	https://pergamum.anac.gov.br/arquivos/https://pergamum.anac.gov.br/arquivos/PA2020-1688.pdf	Privado	-53.7294444444400	-17.2355555555556
SDOR	SP0131	Fazenda Mosquito	ORLÂNDIA	São Paulo			047°53'22.0W"	20°44'51.0S"	736,0	VFR	Sem Operação	16/34	900,0000	24,00	5600 Kg /   0.50 MPa	Terra							24/05/2023	PA2013-1321	https://pergamum.anac.gov.br/arquivos/PA2013-1321.pdf	Privado	-47.8894444444400	-20.7475
SSKC	MT0295	Fazenda Cristiani	BARRA DO BUGRES	Mato Grosso			057°18'12.0W"	14°59'11.0S"	200,0	VFR	Sem Operação	05/23	900,0000	18,00	5.7 Kg /  50.00 MPa	Cascalho							06/11/2024	PA2014-2608	https://pergamum.anac.gov.br/arquivos/PA2014-2608.pdf	Privado	-57.3033333333300	-14.9863888888889
SNWU	MS0237	Fazenda Ponte Quihá	ARAL MOREIRA	Mato Grosso do Sul			055°30'35.0W"	23°00'31.0S"	480,0	VFR	Sem Operação	04/22	880,0000	40,00	5000 Kg /   0.50 MPa	Grama							17/01/2024	PA2014-0111	https://pergamum.anac.gov.br/arquivos/PA2014-0111.pdf	Privado	-55.5097222222200	-23.0086111111111
SJUO	GO0088	Fazenda Juscelândia	JUSSARA	Goiás			051°17'05.0W"	15°17'39.0S"	274,0	VFR	Sem Operação	11/29	850,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							19/12/2023	PA2013-3314	https://pergamum.anac.gov.br/arquivos/PA2013-3314.pdf	Privado	-51.2847222222200	-15.2941666666667
SNPI	BA0021	De Piatã	PIATÃ	Bahia			041°46'19.0W"	13°09'56.0S"	1267,0	VFR	Sem Operação	01/19	1350,0000	25,00	10/F/C/Y/U	Cascalho							11/02/2031	PA2021-4092	https://pergamum.anac.gov.br/arquivos/PA2021-4092.pdf	Privado	-41.7719444444400	-13.1655555555556
SIPB	MA0024	CAVU - Clube de Aviação Desportiva	RAPOSA	Maranhão			044°07'11.0W"	02°26'53.0S"	33,0	VFR	Sem Operação	09/27	400,0000	18,00	5000 Kg /   0.50 MPa	Cascalho							09/09/2023	PA2019-3034	https://pergamum.anac.gov.br/arquivos/PA2019-3034.pdf	Privado	-44.1197222222200	-2.44805555555556
	PI0080	Fazenda Canaã	TERESINA	Piauí			042°47'33.0W"	04°57'41.0S"	122,0	VFR	Sem Operação	18/36	1200,0000	16,00	5600 Kg /   0.50 MPa	Piçarra							08/04/2031	PA2021-4688	https://pergamum.anac.gov.br/arquivos/PA2021-4688.pdf	Privado	-42.7925000000000	-4.96138888888889
SSWO	MT0321	Fazenda Santa Paula	COMODORO	Mato Grosso			060°03'30.0W"	14°00'49.0S"	175,0	VFR	Sem Operação	18/36	880,0000	30,00	5000 Kg /   0.50 MPa	Grama										Privado	-60.0583333333300	-14.0136111111111
SNPL	SP0233	Fazenda Pacuruxu	SANTA MERCEDES	São Paulo			051°43'44.0W"	21°15'23.0S"	360,0	VFR	Sem Operação	05/23	1100,0000	20,00	5000 Kg /   0.50 MPa	Terra										Privado	-51.7288888888900	-21.2563888888889
SJTT	MT0223	GRUPO ROTTA	SAPEZAL	Mato Grosso			058°44'11.0W"	13°38'39.0S"	572,0	VFR	Sem Operação	02/20	1000,0000	20,00	5700 Kg /   0.50 MPa	Cascalho							11/01/2028	PA2017-4245	https://pergamum.anac.gov.br/arquivos/PA2017-4245.pdf	Privado	-58.7363888888900	-13.6441666666667
SJWW	MS0189	Fazenda Cachoeira Preta	ÁGUA CLARA	Mato Grosso do Sul			053°12'58.0W"	20°01'17.0S"	363,0	VFR	Sem Operação	15/33	1200,0000	20,00	7/F/B/Y/T	Asfalto							16/10/2022	PA2012-2157	https://pergamum.anac.gov.br/arquivos/PA2012-2157.pdf	Privado	-53.2161111111100	-20.0213888888889
SWMN	TO0049	Santa Mônica	NATIVIDADE	Tocantins			047°43'19.0W"	12°03'56.0S"	372,0	VFR	Sem Operação	12/30	1190,0000	30,00	5670 Kg /   0.50 MPa	Cascalho							28/09/2022	PA2012-1964	https://pergamum.anac.gov.br/arquivos/PA2012-1964.pdf	Privado	-47.7219444444400	-12.0655555555556
SWZV	MS0404	Fazenda Rodoserv III	BELA VISTA	Mato Grosso do Sul			056°46'26.0W"	21°51'44.0S"	305,0	VFR	Sem Operação	18/36	800,0000	20,00	5700 Kg /   0.50 MPa	Grama							28/09/2022	PA2012-1957	https://pergamum.anac.gov.br/arquivos/PA2012-1957.pdf	Privado	-56.7738888888900	-21.8622222222222
SWQG	MS0391	Fazenda Sossego	MARACAJU	Mato Grosso do Sul			055°25'16.0W"	21°27'26.0S"	520,0	VFR	Sem Operação	11/29	900,0000	35,00	5700 Kg /   0.50 MPa	Grama							29/03/2023	PA2013-0709	https://pergamum.anac.gov.br/arquivos/PA2013-0709.pdf	Privado	-55.4211111111100	-21.4572222222222
SIVD	MS0134	Agropecuária Santa Rita	RIO VERDE DE MATO GROSSO	Mato Grosso do Sul			055°00'05.0W"	19°00'22.0S"	635,0	VFR	Sem Operação	15/33	800,0000	18,00	5000 Kg /   0.50 MPa	Terra							24/03/2026	PA2016-0712	https://pergamum.anac.gov.br/arquivos/PA2016-0712.pdf	Privado	-55.0013888888900	-19.0061111111111
SNCB	PA0084	Castanhal	PRAINHA	Pará			053°56'38.0W"	02°31'32.0S"	153,0	VFR	Sem Operação	07/25	970,0000	30,00	5700 Kg /   0.50 MPa	Piçarra							31/03/2024	PA2016-2902	https://pergamum.anac.gov.br/arquivos/PA2016-2902.pdf	Privado	-53.9438888888900	-2.52555555555556
SICQ	MT0502	Fazenda Luar	CUIABÁ	Mato Grosso			055°41'30.0W"	15°33'15.0S"	234,0	VFR	Sem Operação	13/31	1000,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							07/01/2030	PA2019-38	https://pergamum.anac.gov.br/arquivos/PA2019-38.pdf	Privado	-55.6916666666700	-15.5541666666667
SDCE	TO0012	Fazenda Boa Sorte	ALIANÇA DO TOCANTINS	Tocantins			048°40'44.0W"	11°18'06.0S"	291,0	VFR	Sem Operação	03/21	1200,0000	20,00	5700 Kg /   0.50 MPa	Cascalho							17/04/2023	PA2013-0970	https://pergamum.anac.gov.br/arquivos/PA2013-0970.pdf	Privado	-48.6788888888900	-11.3016666666667
SJKK	PR0057	Sérgio Bonifácio	IVAIPORÃ	Paraná			051°38'39.0W"	24°15'49.0S"	660,0	VFR	Sem Operação	11/29	510,0000	18,00	3000 Kg /   0.50 MPa	Grama							15/01/2031	PA2020-3812	https://pergamum.anac.gov.br/arquivos/PA2020-3812.pdf	Privado	-51.6441666666700	-24.2636111111111
SSLA	MT0608	Fazenda Alves	SORRISO	Mato Grosso			055°37'00.0W"	12°37'04.0S"	393,0	VFR	Sem Operação	10/28	1200,0000	18,00	12/F/C/Y/U	Asfalto							19/11/2030	PA2020-3120	https://pergamum.anac.gov.br/arquivos/PA2020-3120.pdf	Privado	-55.6166666666700	-12.6177777777778
SSYY	MS0355	Fazenda Fundãozinho	COSTA RICA	Mato Grosso do Sul			053°09'17.0W"	18°57'09.0S"	586,0	VFR	Sem Operação	10/28	1000,0000	20,00	5000 Kg /   0.50 MPa	Terra							09/11/2022	PA2018-0104	https://pergamum.anac.gov.br/arquivos/PA2018-0104.pdf	Privado	-53.1547222222200	-18.9525
SNNL	MT0258	Fazenda Locks	NOVA MARINGÁ	Mato Grosso			057°07'45.0W"	12°48'06.0S"	396,0	VFR	Sem Operação	02/20	800,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							16/12/2025	PA2015-3318	https://pergamum.anac.gov.br/arquivos/PA2015-3318.pdf	Privado	-57.1291666666700	-12.8016666666667
SJDG	SP1270	Jorge de Barros Carvalho	SALTO GRANDE	São Paulo			049°53'29.0W"	22°53'15.0S"	476,0	VFR	Sem Operação	03/21	600,0000	18,00	5500 Kg /   0.50 MPa	Terra							07/02/2030	PA2020-278	https://pergamum.anac.gov.br/arquivos/PA2020-278.pdf	Privado	-49.8913888888900	-22.8875
SNSA	MG0294	Hilário Grandi	UNAÍ	Minas Gerais			047°10'43.0W"	16°32'45.0S"	862,0	VFR	Sem Operação	06/24	700,0000	20,00	5700 Kg /   0.50 MPa	Terra							14/02/2029	PA2019-0312	https://pergamum.anac.gov.br/arquivos/PA2019-0312.pdf	Privado	-47.1786111111100	-16.5458333333333
SSYV	MS0410	Fazenda Indaiá	CHAPADÃO DO SUL	Mato Grosso do Sul			052°54'06.0W"	18°40'47.0S"	851,0	VFR	Sem Operação	03/21	1000,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							29/01/2029	PA2019-0056	https://pergamum.anac.gov.br/arquivos/PA2019-0056.pdf	Privado	-52.9016666666700	-18.6797222222222
SWVN	SP0283	Clube de Voo Fazenda Novo Horizonte	ITU	São Paulo			047°24'43.2W"	23°10'23.1S"	539,0	VFR	Sem Operação	14/32	799,0000	20,00	5600 Kg /   0.25 MPa	Grama							10/10/2026	PA2016-2721	https://pergamum.anac.gov.br/arquivos/PA2016-2721.pdf	Privado	-47.4120000000000	-23.1730833333333
SSYZ	MS0356	Fazenda Cedro	ARAL MOREIRA	Mato Grosso do Sul			055°24'42.9W"	22°51'01.2S"	486,0	VFR	Sem Operação	09/27	1000,0000	23,00	5700 Kg /   0.50 MPa	Asfalto							05/04/2022	PA2019-1228	https://pergamum.anac.gov.br/arquivos/PA2019-1228.pdf	Privado	-55.4119166666700	-22.8503333333333
SIOC	SP0190	Santo Expedito	NOVA INDEPENDÊNCIA	São Paulo			051°32'38.3W"	21°08'35.0S"	343,0	VFR	Sem Operação	14/32	1100,0000	20,00	5000 Kg /   0.50 MPa	Grama							04/01/2022	PA2014-0812	https://pergamum.anac.gov.br/arquivos/PA2014-0812.pdf	Privado	-51.5439722222200	-21.1430555555556
SNGS	AL0008	Aeroclube de Alagoas	MACEIÓ	Alagoas			035°45'28.0W"	09°35'15.0S"	90,0	VFR	Sem Operação	14/32	800,0000	21,00	8/F/C/Y/U	Asfalto							01/10/2023	PA2013-2545	https://pergamum.anac.gov.br/arquivos/PA2013-2545.pdf	Privado	-35.7577777777800	-9.5875
SDRL	MS0048	Fazenda Retiro Velho	PORTO MURTINHO	Mato Grosso do Sul			057°49'35.0W"	21°26'59.0S"	88,0	VFR	Sem Operação	03/21	1100,0000	18,00	5600 Kg /   0.50 MPa	Terra							22/10/2028	PA2018-3108	https://pergamum.anac.gov.br/arquivos/PA2018-3108.pdf	Privado	-57.8263888888900	-21.4497222222222
SIPJ	RS0064	Aero Parque Tupã	TUPANCIRETÃ	Rio Grande do Sul			053°51'56.0W"	29°05'08.0S"	462,0	VFR	Sem Operação	06/24	700,0000	25,00	5700 Kg /   0.25 MPa	Grama							01/08/2027	PA2017-2294	https://pergamum.anac.gov.br/arquivos/PA2017-2294.pdf	Privado	-53.8655555555600	-29.0855555555556
SWNW	RS0128	Roso	ACEGUÁ	Rio Grande do Sul			054°05'20.0W"	31°44'03.0S"	165,0	VFR	Sem Operação	07/25	800,0000	18,00	5700 Kg /   0.50 MPa	Asfalto							29/07/2030	PA2020-1770	https://pergamum.anac.gov.br/arquivos/PA2020-1770.pdf	Privado	-54.0888888888900	-31.7341666666667
